Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Short name:ru,Short name:pr,Data class,Data type,Answers,Members
659747dd-b1e4-4e12-adee-ba59c18af4e9,,PIH-BAH-MH:VisitDate,"MH, Visit Date",Visit Date,,,Misc,Date,,
3cce9514-26fe-102b-80cb-0017a47871b2,,CIEL:119537; PIH:DEPRESSION,"MH, Depression",Depression,,,Misc,N/A,,
3ccea7fc-26fe-102b-80cb-0017a47871b2,,CIEL:113517; PIH:PSYCHOSIS,"MH, Psychosis",Psychosis,,,Misc,N/A,,
121131AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,CIEL:121131; PIH:Bipolar disorder,"MH, Bipolar",Bipolar,,,Misc,N/A,,
3cd134f4-26fe-102b-80cb-0017a47871b2,,CIEL:113155; PIH:SCHIZOPHRENIA,"MH, Schizophrenia",Schizophrenia,,,Misc,N/A,,
112603AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,CIEL:112603,"MH, Substance Abuse",Substance Abuse,,,Misc,N/A,,
3cce0a90-26fe-102b-80cb-0017a47871b2,,CIEL:155; PIH:EPILEPSY,"MH, Epilepsy",Epilepsy,,,Misc,N/A,,
a31bbcf1-0374-4160-8cfe-8271e096762d,,CIEL:113881; PIH:Post traumatic stress disorder,"MH, Post-traumatic stress disorder",Post-traumatic stress disorder,,,Misc,N/A,,
3ce6b1ee-26fe-102b-80cb-0017a47871b2,,CIEL:121543; PIH:ANXIETY DISORDER,"MH, Anxiety",Anxiety,,,Misc,N/A,,
3cee7fb4-26fe-102b-80cb-0017a47871b2,,CIEL:5622; PIH:OTHER,"MH, Other",Other,,,Misc,N/A,,
226ed7ad-b776-4b99-966d-fd818d3302c2,,CIEL:1284; PIH:DIAGNOSIS,"MH, Diagnosis",Mental Health Diagnosis,,,Misc,Coded,"MH, Depression;
MH, Psychosis;
MH, Bipolar;
MH, Schizophrenia;
MH, Substance Abuse;
MH, Epilepsy;
MH, Post-traumatic stress disorder;
MH, Anxiety;
MH, Other",
6f442a99-f473-4ecc-906c-cb1d6728a1eb,,PIH-BAH-MH:Psychiatric Center,"MH, Psychiatric Center",Psychiatric Center,,,Misc,N/A,,
aefb8437-7f92-497a-afce-94579b66a9f8,,PIH-BAH-MH:Outpatient Clinic,"MH, Outpatient Clinic",Outpatient Clinic,,,Misc,N/A,,
dbca3e68-1924-4d62-b7af-3210ec218897,,PIH:12742,"MH, TB Hospital",TB Hospital,,,Misc,N/A,,
1272AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,CIEL:1272; PIH:REFERRALS ORDERED,"MH, Type of referral",Type of referral,,,Misc,Coded,"MH, Psychiatric Center;
MH, Outpatient Clinic;
MH, TB Hospital; MH, Other",
aec6ad18-f4dd-4cfa-b68d-3d7bb6ea908e,,PIH:HIV STATUS,"MH, HIV status",HIV status,,,Misc,Coded,Positive; Negative; Unknown,
3cdbd670-26fe-102b-80cb-0017a47871b2,,CIEL:5042; PIH:EXTRA-PULMONARY TUBERCULOSIS,"MH, EPTB",EPTB,,,Misc,N/A,,
da36e0f6-81b3-4e82-9df9-43cff48a0e03,,CIEL:159345; PIH:MULTI-DRUG RESISTANT TUBERCULOSIS,"MH, MDRTB",MDRTB,,,Misc,N/A,,
2f3674d1-b7bc-41f0-9add-6f08de54f181,,PIH-BAH-MH:TBInformation,"MH, TB information",TB information,,,Misc,Coded,"MH, EPTB;
MH, MDRTB",
3cd74d58-26fe-102b-80cb-0017a47871b2,,PIH:TUBERCULOSIS DRUG TREATMENT START DATE,"MH, TB Treatment Start Date",If TB yes when the TB treatment has started,,,Question,Date,,
139146AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,CIEL:139146,"MH, Hallucinations",Hallucinations,,,Misc,Boolean,,
2250ecdd-908b-4594-a792-d8cc00b52b9d,,PIH-BAH-MH:HallucinationDuration,"MH, Hallucinations Duration",Hallucinations Duration,,,Misc,Numeric,,
ce852469-6c11-41c4-bc2e-10d7cb65af3a,,CIEL:119570; PIH:Delusional disorder,"MH, Delusions",Delusions,,,Misc,Boolean,,
fb171b74-b4b8-43f5-83cc-4c653428f174,,PIH-BAH-MH:DelusionDuration,"MH, Delusions Duration",Delusions Duration,,,Misc,Numeric,,
137668AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,CIEL:137668,"MH, Disorganised/Inappropriate behaviour",Disorganised/Inappropriate behaviour,,,Misc,Boolean,,
b664b944-2caf-42a2-83e4-99ae00323b57,,PIH-BAH-MH:InappropBehaviorDuration,"MH, Disorganised/Inappropriate behaviour Duration",Disorganised/Inappropriate behaviour Duration,,,Misc,Numeric,,
137646AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,CIEL:137646,"MH, Disorganised/Incoherent speech",Disorganised/Incoherent speech,,,Misc,Boolean,,
478ff081-9fc3-4508-ad50-8af7e46ed480,,PIH-BAH-MH:IncoherentSpeechDuration,"MH, Disorganised/Incoherent speech Duration",Disorganised/Incoherent speech Duration,,,Misc,Numeric,,
158801AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,CIEL:158801,"MH, Depressive symptoms",Depressive symptoms,,,Misc,Boolean,,
0b7b0ee7-2e8f-4764-86d8-214a925b4312,,PIH-BAH-MH:DepressionSympDuration,"MH, Depressive symptoms Duration",Depressive symptoms Duration,,,Misc,Numeric,,
3cce938e-26fe-102b-80cb-0017a47871b2,,CIEL:113054; PIH:SEIZURE,"MH, Seizures",Seizures,,,Misc,Boolean,,
47216015-6d80-4226-b50a-aa06423e2330,,PIH:Duration of seizure,"MH, Seizures Duration",Seizures Duration,,,Misc,Numeric,,
